date,new_cases,total_cases,active_cases,mobilty,does1,dose2,new_deaths,total_deaths
2020-02-11,1,1,1,109.07,0,0,0,0
2020-02-12,0,1,0,111.2,0,0,0,0
2020-02-13,0,1,0,110.18,0,0,0,0
2020-02-14,0,1,0,123.91,0,0,0,0
2020-02-15,0,1,0,131.79,0,0,0,0
2020-02-16,0,1,0,116.64,0,0,0,0
2020-02-17,0,1,0,123.55,0,0,0,0
2020-02-18,0,1,0,122.11,0,0,0,0
2020-02-19,0,1,0,125.12,0,0,0,0
2020-02-20,0,1,0,124.27,0,0,0,0
2020-02-21,0,1,0,133.95,0,0,0,0
2020-02-22,0,1,0,141.61,0,0,0,0
2020-02-23,0,1,0,111.26,0,0,0,0
2020-02-24,1,2,1,107.64,0,0,0,0
2020-02-25,3,5,3,109.44,0,0,0,0
2020-02-26,2,7,2,110.17,0,0,0,0
2020-02-27,2,9,2,111.27,0,0,0,0
2020-02-28,3,12,3,122.41,0,0,0,0
2020-02-29,1,13,1,129.48,0,0,0,0
2020-03-01,4,17,4,109.14,0,0,0,0
2020-03-02,12,29,12,102.74,0,0,0,0
2020-03-03,6,35,6,105.44,0,0,0,0
2020-03-04,18,53,18,106.93,0,0,0,0
2020-03-05,14,67,14,106.97,0,0,0,0
2020-03-06,24,91,24,118.77,0,0,1,1
2020-03-07,15,106,15,127.78,0,0,0,1
2020-03-08,22,128,22,100.86,0,0,0,1
2020-03-09,53,181,53,98.05,0,0,1,2
2020-03-10,92,273,92,99.47,0,0,0,2
2020-03-11,183,456,183,94.33,0,0,5,7
2020-03-12,164,620,164,86.28,0,0,6,13
2020-03-13,135,755,135,89.95,0,0,10,23
2020-03-14,150,905,150,94.84,0,0,13,36
2020-03-15,165,1070,165,67.46,0,0,9,45
2020-03-16,233,1303,233,57.95,0,0,15,60
2020-03-17,311,1614,160.29,46.33,0,0,23,83
2020-03-18,355,1969,170.04,40.32,0,0,28,111
2020-03-19,332,2301,240,38.7,0,0,25,136
2020-03-20,426,2727,272,34.64,0,0,44,180
2020-03-21,350,3077,311,28.01,0,0,49,229
2020-03-22,437,3514,335,25.9,0,0,54,283
2020-03-23,687,4201,505,24.44,0,0,63,346
2020-03-24,633,4834,637,17.15,0,0,86,432
2020-03-25,760,5594,675,15.43,0,0,112,544
2020-03-26,766,6360,519,14.49,0,0,130,674
2020-03-27,817,7177,639,14.05,0,0,130,804
2020-03-28,576,7753,551,13.6,0,0,123,927
2020-03-29,598,8351,672,13.3,0,0,145,1072
2020-03-30,867,9218,883,14.16,0,0,151,1223
2020-03-31,935,10153,645,13.92,0,0,183,1406
2020-04-01,979,11132,767,13.66,0,0,202,1608
2020-04-02,1070,12202,835,13.65,0,0,191,1799
2020-04-03,981,13183,647,13.36,0,0,199,1998
2020-04-04,767,13950,733,12.51,0,0,231,2229
2020-04-05,633,14583,732,12.83,0,0,195,2424
2020-04-06,857,15440,743,13.65,0,0,198,2622
2020-04-07,950,16390,722,13.36,0,0,220,2842
2020-04-08,874,17264,744,13.18,0,0,239,3081
2020-04-09,800,18064,554,13.25,0,0,207,3288
2020-04-10,619,18683,531,12.7,0,0,171,3459
2020-04-11,519,19202,490,12.1,0,0,178,3637
2020-04-12,501,19703,384,11.21,0,0,159,3796
2020-04-13,596,20299,416,12.72,0,0,166,3962
2020-04-14,595,20894,447,13.72,0,0,143,4105
2020-04-15,659,21553,412,13.91,0,0,143,4248
2020-04-16,574,22127,388,13.62,0,0,140,4388
2020-04-17,580,22707,358,13.17,0,0,101,4489
2020-04-18,400,23107,283,12.6,0,0,101,4590
2020-04-19,395,23502,290,13.58,0,0,104,4694
2020-04-20,431,23933,308,14.78,0,0,96,4790
2020-04-21,466,24399,288,14.7,0,0,96,4886
2020-04-22,399,24798,225,14.73,0,0,109,4995
2020-04-23,520,25318,266,14.85,0,0,77,5072
2020-04-24,377,25695,171,14.57,0,0,71,5143
2020-04-25,333,26028,137,14.42,0,0,58,5201
2020-04-26,311,26339,187,15.21,0,0,53,5254
2020-04-27,418,26757,261,15.41,0,0,52,5306
2020-04-28,312,27069,248,14.57,0,0,44,5350
2020-04-29,428,27497,212,15.04,0,0,45,5395
2020-04-30,424,27921,183,14.84,0,0,40,5435
2020-05-01,354,28275,201,15.62,0,0,41,5476
2020-05-02,247,28522,150,15.94,0,0,41,5517
2020-05-03,167,28689,157,16.21,0,0,36,5553
2020-05-04,248,28937,169,17.38,0,0,30,5583
2020-05-05,216,29153,178,17.57,0,0,25,5608
2020-05-06,266,29419,216,17.49,0,0,37,5645
2020-05-07,273,29692,202,17.67,0,0,37,5682
2020-05-08,206,29898,99,17.78,0,0,31,5713
2020-05-09,128,30026,85,18.45,0,0,23,5736
2020-05-10,126,30152,86,17.92,0,0,26,5762
2020-05-11,162,30314,91,17.7514285714286,0,0,18,5780
2020-05-12,195,30509,80,21.4414285714286,0,0,18,5798
2020-05-13,204,30713,91,19.95,0,0,17,5815
2020-05-14,158,30871,91,19.73,0,0,20,5835
2020-05-15,132,31003,77,20.81,0,0,19,5854
