Date,England,East of England,London,Midlands,North East and Yorkshire,North West,South East,South West
,,,,,,,,
Up to 01-Mar-20,0,0,0,0,0,0,0,0
01-Mar-20,0,0,0,0,0,0,0,0
02-Mar-20,1,1,0,0,0,0,0,0
03-Mar-20,2,0,0,1,0,0,1,0
04-Mar-20,0,0,0,0,0,0,0,0
05-Mar-20,2,0,0,0,0,1,1,0
06-Mar-20,2,1,1,0,0,0,0,0
07-Mar-20,0,0,0,0,0,0,0,0
08-Mar-20,4,0,0,2,0,1,1,0
09-Mar-20,4,1,1,1,0,0,1,0
10-Mar-20,1,0,0,0,0,0,1,0
11-Mar-20,9,0,5,2,0,0,1,1
12-Mar-20,14,0,6,6,0,2,0,0
13-Mar-20,20,1,10,5,0,3,1,0
14-Mar-20,22,2,13,4,0,1,1,1
15-Mar-20,27,2,9,5,2,4,5,0
16-Mar-20,40,1,15,11,3,2,8,0
17-Mar-20,46,1,23,8,1,4,7,2
18-Mar-20,66,5,28,13,2,6,10,2
19-Mar-20,63,4,25,8,6,7,9,4
20-Mar-20,105,2,44,28,5,10,13,3
21-Mar-20,104,11,49,13,6,11,7,7
22-Mar-20,149,12,54,31,7,13,25,7
23-Mar-20,159,11,63,33,9,15,20,8
24-Mar-20,204,19,86,41,8,21,22,7
25-Mar-20,263,26,112,48,18,21,29,9
26-Mar-20,326,36,130,64,21,29,35,11
27-Mar-20,353,38,130,72,28,36,36,13
28-Mar-20,360,28,123,89,35,28,36,21
29-Mar-20,437,43,145,92,38,46,55,18
30-Mar-20,499,46,151,90,64,67,58,23
31-Mar-20,576,70,183,123,60,52,65,23
01-Apr-20,645,63,202,140,67,86,66,21
02-Apr-20,647,65,191,142,75,96,55,23
03-Apr-20,702,80,199,124,100,95,73,31
04-Apr-20,778,71,231,151,105,98,80,42
05-Apr-20,743,76,195,164,92,102,82,32
06-Apr-20,727,71,198,140,96,100,88,34
07-Apr-20,813,93,220,123,102,136,100,39
08-Apr-20,900,111,239,186,107,127,83,47
09-Apr-20,792,87,207,140,111,119,104,24
10-Apr-20,740,74,171,127,117,117,88,46
11-Apr-20,780,92,178,142,98,139,88,43
12-Apr-20,718,100,159,139,84,125,88,23
13-Apr-20,701,78,166,121,94,130,84,28
14-Apr-20,646,61,143,116,107,130,65,24
15-Apr-20,686,82,143,147,96,114,72,32
16-Apr-20,639,74,140,102,103,135,56,29
17-Apr-20,610,86,101,118,88,98,86,33
18-Apr-20,571,64,101,115,95,114,57,25
19-Apr-20,524,67,104,93,88,71,70,31
20-Apr-20,566,67,96,107,100,83,87,26
21-Apr-20,487,75,96,87,76,76,51,26
22-Apr-20,502,67,109,78,84,87,54,23
23-Apr-20,451,49,77,103,63,85,57,17
24-Apr-20,438,66,71,79,72,67,64,19
25-Apr-20,386,54,58,72,69,67,51,15
26-Apr-20,380,48,53,81,65,55,51,27
27-Apr-20,345,46,52,74,65,54,41,13
28-Apr-20,341,58,44,68,57,57,40,17
29-Apr-20,325,32,45,53,69,64,47,15
30-Apr-20,313,45,40,56,57,60,29,26
01-May-20,307,49,41,65,64,45,37,6
02-May-20,268,29,41,51,48,56,36,7
03-May-20,251,41,36,52,40,55,17,10
04-May-20,259,19,30,61,49,48,35,17
05-May-20,253,37,25,59,40,49,29,14
06-May-20,267,32,37,59,51,44,25,19
07-May-20,256,33,37,48,45,50,27,16
08-May-20,215,33,31,34,42,43,26,6
09-May-20,203,29,23,37,44,31,28,11
10-May-20,196,22,26,42,40,42,19,5
11-May-20,166,18,18,33,29,35,25,8
12-May-20,183,21,18,45,27,38,27,7
13-May-20,162,27,17,40,28,25,18,7
14-May-20,180,26,20,39,31,26,32,6
15-May-20,172,19,19,40,32,33,25,4
16-May-20,167,26,14,34,35,32,22,4
17-May-20,138,17,16,31,26,24,18,6
18-May-20,161,25,11,37,30,31,23,4
19-May-20,144,15,14,35,27,35,12,6
20-May-20,153,26,19,36,22,27,22,1
21-May-20,150,21,12,32,33,28,15,9
22-May-20,122,13,10,27,22,26,17,7
23-May-20,128,12,6,34,18,31,21,6
24-May-20,116,17,7,20,26,26,17,3
25-May-20,133,25,9,26,21,31,13,8
26-May-20,139,14,14,33,21,27,19,11
27-May-20,122,12,7,29,23,27,19,5
28-May-20,124,17,8,28,21,28,12,10
29-May-20,117,16,7,20,25,20,22,7
30-May-20,92,9,12,21,20,19,8,3
31-May-20,83,8,6,22,20,13,12,2
01-Jun-20,94,17,10,20,17,12,11,7
02-Jun-20,109,14,8,22,23,27,13,2
03-Jun-20,111,10,6,24,24,22,18,7
04-Jun-20,83,7,8,16,17,22,11,2
05-Jun-20,86,14,4,21,18,16,11,2
06-Jun-20,83,5,0,20,21,26,10,1
07-Jun-20,80,9,5,17,14,20,12,3
08-Jun-20,73,7,5,16,11,23,8,3
09-Jun-20,69,6,5,18,12,17,11,0
10-Jun-20,78,8,8,15,19,16,11,1
11-Jun-20,49,1,5,13,7,16,5,2
12-Jun-20,52,9,3,12,9,11,6,2
13-Jun-20,43,5,3,6,10,10,7,2
14-Jun-20,58,4,3,18,11,15,7,0
15-Jun-20,56,8,1,12,9,16,8,2
16-Jun-20,62,3,2,15,10,16,14,2
