,date,vaccines
0,2020-12-08,0
1,2020-12-09,9408
2,2020-12-10,18816
3,2020-12-11,28224
4,2020-12-12,37632
5,2020-12-13,47040
6,2020-12-14,56448
7,2020-12-15,65856
8,2020-12-16,75264
9,2020-12-17,84672
10,2020-12-18,94080
11,2020-12-19,103488
12,2020-12-20,112896
13,2020-12-21,122304
14,2020-12-22,131712
15,2020-12-23,141120
16,2020-12-24,150528
17,2020-12-25,159936
18,2020-12-26,169344
19,2020-12-27,178752
20,2020-12-28,188160
21,2020-12-29,197568
22,2020-12-30,206976
23,2020-12-31,216384
24,2021-01-01,225792
25,2021-01-02,235200
26,2021-01-03,244608
27,2021-01-04,254016
28,2021-01-05,263424
29,2021-01-06,272832
30,2021-01-07,282240
31,2021-01-08,291648
32,2021-01-09,301056
33,2021-01-10,310464
34,2021-01-11,319872
35,2021-01-12,329280
36,2021-01-13,338688
37,2021-01-14,348096
38,2021-01-15,357504
39,2021-01-16,366912
40,2021-01-17,376320
41,2021-01-18,411999
42,2021-01-19,447678
43,2021-01-20,483357
44,2021-01-21,519036
45,2021-01-22,554715
46,2021-01-23,590394
47,2021-01-24,626073
48,2021-01-25,671608
49,2021-01-26,717143
50,2021-01-27,762678
51,2021-01-28,808213
52,2021-01-29,853748
53,2021-01-30,899283
54,2021-01-31,944818
55,2021-02-01,981883
56,2021-02-02,1018948
57,2021-02-03,1056013
58,2021-02-04,1093078
59,2021-02-05,1130143
60,2021-02-06,1167208
61,2021-02-07,1204273
62,2021-02-08,1240822
63,2021-02-09,1277371
64,2021-02-10,1313920
65,2021-02-11,1350469
66,2021-02-12,1387018
67,2021-02-13,1423567
68,2021-02-14,1460116
69,2021-02-15,1501004
70,2021-02-16,1541892
71,2021-02-17,1582780
72,2021-02-18,1623668
73,2021-02-19,1664556
74,2021-02-20,1705444
75,2021-02-21,1746332
76,2021-02-22,1791467
77,2021-02-23,1836602
78,2021-02-24,1881737
79,2021-02-25,1926872
80,2021-02-26,1972007
81,2021-02-27,2017142
82,2021-02-28,2062277
83,2021-03-01,2095615
84,2021-03-02,2128953
85,2021-03-03,2162291
86,2021-03-04,2195629
87,2021-03-05,2228967
88,2021-03-06,2262305
89,2021-03-07,2295643
90,2021-03-08,2326029
91,2021-03-09,2356415
92,2021-03-10,2386801
93,2021-03-11,2417187
94,2021-03-12,2447573
95,2021-03-13,2477959
96,2021-03-14,2508345
97,2021-03-15,2557564
98,2021-03-16,2606783
99,2021-03-17,2656002
100,2021-03-18,2705221
101,2021-03-19,2754440
102,2021-03-20,2803659
103,2021-03-21,2852878
104,2021-03-22,2894119
105,2021-03-23,2935360
106,2021-03-24,2976601
107,2021-03-25,3017842
108,2021-03-26,3059083
109,2021-03-27,3100324
110,2021-03-28,3141565
111,2021-03-29,3155038
112,2021-03-30,3168511
113,2021-03-31,3181984
114,2021-04-01,3195457
115,2021-04-02,3208930
116,2021-04-03,3222403
117,2021-04-04,3235876
118,2021-04-05,3244337
119,2021-04-06,3252798
120,2021-04-07,3261259
121,2021-04-08,3269720
122,2021-04-09,3278181
123,2021-04-10,3286642
124,2021-04-11,3295103
